movie_id,title,genre,release_year,duration_minutes,rating,views
M00001,Movie 1,Fantasy,2018,174,3.0,281364
M00002,Movie 2,Comedy,1996,148,3.3,78513
M00003,Movie 3,Drama,2011,162,4.1,37377
M00004,Movie 4,Sci-Fi,2012,92,3.5,407910
M00005,Movie 5,Sci-Fi,2012,96,4.7,232332
M00006,Movie 6,Sci-Fi,1995,102,2.6,87978
M00007,Movie 7,Thriller,2007,139,4.6,379896
M00008,Movie 8,Fantasy,1993,165,4.7,63178
M00009,Movie 9,Romance,2013,174,3.1,226689
M00010,Movie 10,Horror,1990,86,4.9,316326
M00011,Movie 11,Sci-Fi,2003,108,4.0,99895
M00012,Movie 12,Romance,2021,123,4.9,30502
M00013,Movie 13,Sci-Fi,2000,103,4.9,3678
M00014,Movie 14,Romance,2014,111,2.6,346944
M00015,Movie 15,Action,2012,170,3.8,359504
M00016,Movie 16,Comedy,1999,172,4.7,328938
M00017,Movie 17,Animation,2000,157,2.9,403568
M00018,Movie 18,Horror,1999,140,2.9,242922
M00019,Movie 19,Documentary,1992,120,4.8,1734
M00020,Movie 20,Sci-Fi,2024,128,2.9,378254
M00021,Movie 21,Animation,1994,161,3.9,345747
M00022,Movie 22,Animation,1991,146,4.8,318824
M00023,Movie 23,Thriller,2006,121,3.8,494186
M00024,Movie 24,Romance,2014,100,4.4,60254
M00025,Movie 25,Comedy,1996,136,4.8,204020
M00026,Movie 26,Romance,2019,110,4.4,1832
M00027,Movie 27,Action,2023,142,4.8,7509
M00028,Movie 28,Horror,2012,100,3.6,433660
M00029,Movie 29,Sci-Fi,2017,174,4.1,468766
M00030,Movie 30,Romance,1995,150,2.7,359177
M00031,Movie 31,Action,2004,138,4.7,242875
M00032,Movie 32,Documentary,2021,170,5.0,248886
M00033,Movie 33,Documentary,2017,130,4.4,200449
M00034,Movie 34,Documentary,2012,126,4.3,218916
M00035,Movie 35,Action,2018,157,4.8,283898
M00036,Movie 36,Drama,2022,102,4.0,179622
M00037,Movie 37,Sci-Fi,2000,84,3.1,370336
M00038,Movie 38,Romance,2010,171,3.5,301374
M00039,Movie 39,Comedy,2019,168,4.0,321846
M00040,Movie 40,Comedy,2005,125,4.1,57476
M00041,Movie 41,Sci-Fi,2011,114,3.3,400944
M00042,Movie 42,Animation,1996,149,2.6,39070
M00043,Movie 43,Documentary,1997,113,3.1,402476
M00044,Movie 44,Sci-Fi,2008,90,2.6,199957
M00045,Movie 45,Sci-Fi,1998,163,3.2,63835
M00046,Movie 46,Thriller,2004,171,3.9,61144
M00047,Movie 47,Animation,2022,110,3.2,145874
M00048,Movie 48,Animation,2015,106,4.6,463165
M00049,Movie 49,Action,2010,144,4.9,488328
M00050,Movie 50,Documentary,1995,143,4.1,11254
M00051,Movie 51,Animation,2015,151,2.8,246173
M00052,Movie 52,Drama,2008,82,3.4,208539
M00053,Movie 53,Documentary,2012,141,4.3,277545
M00054,Movie 54,Animation,2010,113,4.3,113443
M00055,Movie 55,Romance,1990,85,2.6,389285
M00056,Movie 56,Comedy,2023,164,3.2,495641
M00057,Movie 57,Fantasy,2016,106,4.4,405810
M00058,Movie 58,Sci-Fi,1991,138,3.7,93111
M00059,Movie 59,Drama,2003,126,3.8,136718
