subscription_id,user_id,plan,monthly_price,is_active
S178639,U00001,Premium,17.99,True
S122290,U00002,Standard,12.99,True
S288438,U00003,Basic,8.99,True
S415239,U00004,Premium,17.99,True
S313904,U00005,Premium,17.99,False
S152082,U00006,Premium,17.99,True
S987914,U00007,Premium,17.99,False
S861383,U00008,Premium,17.99,True
S254970,U00009,Basic,8.99,True
S607140,U00010,Standard,12.99,True
S605844,U00011,Basic,8.99,False
S158622,U00012,Basic,8.99,True
S909203,U00013,Standard,12.99,True
S146601,U00014,Premium,17.99,True
S794609,U00015,Premium,17.99,False
S893175,U00016,Basic,8.99,False
S111030,U00017,Basic,8.99,True
S953440,U00018,Basic,8.99,True
S167760,U00019,Basic,8.99,False
S455486,U00020,Basic,8.99,False
S377049,U00021,Basic,8.99,True
S117106,U00022,Premium,17.99,True
S618472,U00023,Basic,8.99,False
S228898,U00024,Standard,12.99,True
S295659,U00025,Premium,17.99,True
S156102,U00026,Basic,8.99,True
S484424,U00027,Standard,12.99,True
S674963,U00028,Standard,12.99,True
S591338,U00029,Standard,12.99,True
S703865,U00030,Premium,17.99,False
S518865,U00031,Premium,17.99,True
S350392,U00032,Premium,17.99,True
S634653,U00033,Basic,8.99,True
S984060,U00034,Standard,12.99,True
S904454,U00035,Basic,8.99,False
S330085,U00036,Premium,17.99,True
S409768,U00037,Premium,17.99,True
S248320,U00038,Basic,8.99,True
S968073,U00039,Premium,17.99,False
S589728,U00040,Standard,12.99,True
S541749,U00041,Basic,8.99,True
S710761,U00042,Basic,8.99,True
S629847,U00043,Basic,8.99,True
S615784,U00044,Standard,12.99,True
S686533,U00045,Basic,8.99,True
S651741,U00046,Premium,17.99,True
S194497,U00047,Premium,17.99,True
S378792,U00048,Premium,17.99,True
S870841,U00049,Premium,17.99,False
S825772,U00050,Standard,12.99,True
S269892,U00051,Standard,12.99,True
S533897,U00052,Basic,8.99,True
S683985,U00053,Premium,17.99,True
S994893,U00054,Premium,17.99,True
S826733,U00055,Standard,12.99,True
S450604,U00056,Standard,12.99,True
S115509,U00057,Premium,17.99,True
S558584,U00058,Premium,17.99,True
S811371,U00059,Premium,17.99,True
S834211,U00060,Standard,12.99,False
S443237,U00061,Premium,17.99,False
S522489,U00062,Standard,12.99,True
S140363,U00063,Premium,17.99,True
S174049,U00064,Basic,8.99,True
S860986,U00065,Premium,17.99,True
S716414,U00066,Basic,8.99,True
S516846,U00067,Premium,17.99,True
S225343,U00068,Premium,17.99,True
S155772,U00069,Premium,17.99,True
S319564,U00070,Premium,17.99,True
S779422,U00071,Standard,12.99,True
S123687,U00072,Premium,17.99,True
S642927,U00073,Basic,8.99,False
S177141,U00074,Standard,12.99,False
S119619,U00075,Standard,12.99,False
S446757,U00076,Premium,17.99,True
S942876,U00077,Standard,12.99,True
S539289,U00078,Basic,8.99,True
S625923,U00079,Basic,8.99,False
S979677,U00080,Premium,17.99,False
S654211,U00081,Premium,17.99,True
S845178,U00082,Standard,12.99,True
S980882,U00083,Basic,8.99,True
S233621,U00084,Standard,12.99,True
S231124,U00085,Basic,8.99,True
S513028,U00086,Basic,8.99,True
S232810,U00087,Standard,12.99,True
S605341,U00088,Standard,12.99,True
S287231,U00089,Premium,17.99,True
S843815,U00090,Standard,12.99,True
S231000,U00091,Basic,8.99,True
S960831,U00092,Premium,17.99,True
S102643,U00093,Basic,8.99,True
S939412,U00094,Premium,17.99,True
S452192,U00095,Basic,8.99,True
S171182,U00096,Basic,8.99,True
S926193,U00097,Premium,17.99,False
S754027,U00098,Premium,17.99,True
S123848,U00099,Basic,8.99,True
S819557,U00100,Standard,12.99,True
S227945,U00101,Premium,17.99,True
S107725,U00102,Premium,17.99,True
S191936,U00103,Premium,17.99,True
S123153,U00104,Basic,8.99,True
S736978,U00105,Basic,8.99,True
S966973,U00106,Premium,17.99,False
S597407,U00107,Premium,17.99,True
S104040,U00108,Basic,8.99,True
S837940,U00109,Standard,12.99,True
S393945,U00110,Standard,12.99,False
S868667,U00111,Premium,17.99,True
S710488,U00112,Basic,8.99,False
S799799,U00113,Basic,8.99,True
S544481,U00114,Premium,17.99,True
S606263,U00115,Standard,12.99,True
S115364,U00116,Standard,12.99,True
S551227,U00117,Standard,12.99,True
S577091,U00118,Premium,17.99,True
S335665,U00119,Basic,8.99,False
S211291,U00120,Premium,17.99,True
S846817,U00121,Premium,17.99,True
S344074,U00122,Standard,12.99,True
S489808,U00123,Premium,17.99,False
S200441,U00124,Basic,8.99,True
S955190,U00125,Basic,8.99,True
S435595,U00126,Standard,12.99,True
S728615,U00127,Premium,17.99,True
S884777,U00128,Premium,17.99,True
S129229,U00129,Basic,8.99,True
S294419,U00130,Standard,12.99,False
S498205,U00131,Standard,12.99,True
S160685,U00132,Premium,17.99,True
S800037,U00133,Premium,17.99,True
S924278,U00134,Premium,17.99,True
S253227,U00135,Premium,17.99,True
S198856,U00136,Standard,12.99,True
S275673,U00137,Standard,12.99,True
S111558,U00138,Premium,17.99,True
S995021,U00139,Basic,8.99,False
S867963,U00140,Premium,17.99,True
S886140,U00141,Premium,17.99,True
S231202,U00142,Basic,8.99,True
S277713,U00143,Standard,12.99,True
S896191,U00144,Basic,8.99,True
S640544,U00145,Premium,17.99,False
S741216,U00146,Premium,17.99,True
S248254,U00147,Standard,12.99,False
S257523,U00148,Standard,12.99,False
S444935,U00149,Basic,8.99,True
S962210,U00150,Premium,17.99,True
S839635,U00151,Premium,17.99,True
S233052,U00152,Premium,17.99,True
S492571,U00153,Standard,12.99,True
S619319,U00154,Standard,12.99,True
S528713,U00155,Standard,12.99,False
S619772,U00156,Standard,12.99,True
S686839,U00157,Premium,17.99,True
S866850,U00158,Basic,8.99,True
S573929,U00159,Basic,8.99,True
S842323,U00160,Standard,12.99,True
S113408,U00161,Standard,12.99,True
S556527,U00162,Basic,8.99,True
S631473,U00163,Basic,8.99,True
S796937,U00164,Premium,17.99,True
S140226,U00165,Premium,17.99,True
S288790,U00166,Standard,12.99,True
S825713,U00167,Premium,17.99,True
S715168,U00168,Basic,8.99,True
S114458,U00169,Basic,8.99,True
S450216,U00170,Basic,8.99,True
S803365,U00171,Premium,17.99,False
S482241,U00172,Basic,8.99,True
S467136,U00173,Standard,12.99,True
S651142,U00174,Standard,12.99,True
S805672,U00175,Premium,17.99,False
S219431,U00176,Standard,12.99,True
S129233,U00177,Standard,12.99,True
S687984,U00178,Basic,8.99,True
S455921,U00179,Basic,8.99,False
S855940,U00180,Basic,8.99,True
S383794,U00181,Standard,12.99,False
