user_id,country,age,subscription_plan,registration_date
U00001,Spain,22,Premium,2025-08-26
U00002,USA,32,Standard,2024-03-03
U00003,Canada,62,Basic,2024-11-11
U00004,Canada,18,Premium,2025-01-16
U00005,Brazil,39,Premium,2024-08-07
U00006,Peru,44,Premium,2021-11-08
U00007,Spain,47,Premium,2022-08-02
U00008,Brazil,33,Premium,2025-02-21
U00009,Spain,47,Basic,2024-07-24
U00010,Canada,31,Standard,2025-05-21
U00011,Canada,53,Basic,2023-09-09
U00012,Chile,65,Basic,2023-10-10
U00013,Canada,31,Standard,2022-07-17
U00014,Chile,26,Premium,2021-07-04
U00015,Brazil,19,Premium,2022-01-26
U00016,Brazil,65,Basic,2023-01-10
U00017,Peru,65,Basic,2020-11-21
U00018,Mexico,45,Basic,2025-02-15
U00019,Chile,47,Basic,2024-08-29
U00020,Spain,28,Basic,2023-05-01
U00021,Chile,58,Basic,2023-09-25
U00022,USA,41,Premium,2026-02-11
U00023,Brazil,40,Basic,2025-05-11
U00024,USA,64,Standard,2023-12-01
U00025,Mexico,22,Premium,2022-08-29
U00026,Chile,41,Basic,2022-03-30
U00027,Mexico,44,Standard,2024-04-30
U00028,Argentina,55,Standard,2025-09-13
U00029,Chile,31,Standard,2025-09-19
U00030,Chile,53,Premium,2026-03-24
U00031,Argentina,43,Premium,2023-03-05
U00032,Chile,48,Premium,2024-10-01
U00033,USA,46,Basic,2024-10-18
U00034,Mexico,65,Standard,2021-01-18
U00035,Spain,25,Basic,2023-11-12
U00036,USA,33,Premium,2025-08-04
U00037,Argentina,24,Premium,2024-03-23
U00038,Chile,33,Basic,2021-03-15
U00039,Chile,50,Premium,2024-08-09
U00040,Mexico,43,Standard,2026-01-05
U00041,Spain,41,Basic,2023-11-14
U00042,Peru,47,Basic,2021-10-03
U00043,Canada,28,Basic,2022-08-14
U00044,Brazil,58,Standard,2022-05-24
U00045,Spain,20,Basic,2024-05-21
U00046,Brazil,38,Premium,2023-08-26
U00047,Brazil,33,Premium,2022-08-14
U00048,Argentina,20,Premium,2024-09-10
U00049,Mexico,45,Premium,2021-02-13
U00050,Mexico,56,Standard,2022-07-20
U00051,Peru,51,Standard,2024-08-26
U00052,Mexico,48,Basic,2023-02-16
U00053,Spain,51,Premium,2024-03-12
U00054,Spain,35,Premium,2022-07-26
U00055,Peru,65,Standard,2025-10-13
U00056,Mexico,63,Standard,2022-05-11
U00057,Brazil,39,Premium,2025-08-07
U00058,Mexico,30,Premium,2024-03-05
U00059,Mexico,28,Premium,2025-10-12
U00060,Spain,53,Standard,2024-02-22
U00061,Canada,42,Premium,2024-04-23
U00062,Argentina,34,Standard,2024-05-14
U00063,Brazil,45,Premium,2025-10-04
U00064,Canada,43,Basic,2022-07-26
U00065,Chile,32,Premium,2022-09-19
U00066,Spain,39,Basic,2025-09-17
U00067,Brazil,23,Premium,2024-10-19
U00068,Brazil,61,Premium,2023-06-06
U00069,Brazil,37,Premium,2024-04-25
U00070,Spain,18,Premium,2025-06-15
U00071,Canada,49,Standard,2024-01-12
U00072,Mexico,39,Premium,2025-09-06
U00073,Spain,26,Basic,2024-02-03
U00074,USA,57,Standard,2025-05-23
U00075,Argentina,59,Standard,2021-03-11
U00076,Brazil,49,Premium,2024-03-11
U00077,Peru,37,Standard,2025-12-31
U00078,Chile,23,Basic,2026-01-25
U00079,Argentina,29,Basic,2026-03-19
U00080,Peru,24,Premium,2023-09-17
U00081,Spain,64,Premium,2023-02-24
U00082,Canada,34,Standard,2025-08-28
U00083,USA,37,Basic,2022-04-20
U00084,Argentina,19,Standard,2022-07-25
U00085,Canada,53,Basic,2021-10-04
U00086,Argentina,29,Basic,2024-05-04
U00087,Chile,23,Standard,2025-12-25
U00088,Canada,46,Standard,2023-08-17
U00089,USA,45,Premium,2023-04-16
U00090,Brazil,63,Standard,2025-05-09
U00091,Chile,22,Basic,2023-06-08
U00092,Argentina,33,Premium,2023-07-12
U00093,Peru,21,Basic,2023-09-06
U00094,Mexico,39,Premium,2024-09-03
U00095,Chile,36,Basic,2024-03-13
U00096,USA,54,Basic,2021-11-11
U00097,Brazil,46,Premium,2025-03-16
U00098,Brazil,41,Premium,2024-11-29
U00099,Brazil,33,Basic,2025-08-18
U00100,Chile,45,Standard,2021-11-24
U00101,Spain,32,Premium,2023-08-27
U00102,Argentina,50,Premium,2022-05-22
U00103,Chile,48,Premium,2023-01-06
U00104,Peru,50,Basic,2025-02-04
U00105,USA,22,Basic,2021-02-13
U00106,Canada,46,Premium,2023-10-21
U00107,Argentina,43,Premium,2021-06-21
U00108,Canada,34,Basic,2022-04-09
U00109,Peru,42,Standard,2020-11-21
U00110,Canada,45,Standard,2025-09-08
U00111,Chile,49,Premium,2024-08-06
U00112,Canada,33,Basic,2022-06-25
U00113,Spain,41,Basic,2026-01-07
U00114,Chile,59,Premium,2021-07-05
