watch_id,user_id,movie_id,watched_at,minutes_watched,completed,device
W0000001,U00357,M00150,2025-05-19 15:04:16.412298,73,True,TV
W0000002,U00926,M00247,2026-01-06 15:04:16.412316,159,False,Mobile
W0000003,U00329,M00011,2025-07-10 15:04:16.412319,153,True,Mobile
W0000004,U00873,M00290,2025-12-13 15:04:16.412322,125,False,Mobile
W0000005,U00944,M00273,2026-02-10 15:04:16.412324,147,False,Tablet
W0000006,U00808,M00144,2025-06-12 15:04:16.412327,37,False,TV
W0000007,U00877,M00289,2025-10-14 15:04:16.412330,173,True,Mobile
W0000008,U00705,M00066,2025-09-11 15:04:16.412334,141,True,Tablet
W0000009,U00798,M00076,2026-04-13 15:04:16.412338,172,True,TV
W0000010,U00787,M00147,2025-10-20 15:04:16.412341,5,True,Laptop
W0000011,U00359,M00252,2025-07-15 15:04:16.412343,146,True,TV
W0000012,U00844,M00299,2025-07-09 15:04:16.412345,88,False,Laptop
W0000013,U00385,M00137,2026-03-02 15:04:16.412348,7,True,Laptop
W0000014,U00157,M00126,2026-05-01 15:04:16.412350,78,True,Laptop
W0000015,U00037,M00083,2025-07-26 15:04:16.412352,8,True,Tablet
W0000016,U00496,M00251,2025-10-18 15:04:16.412354,62,True,Mobile
W0000017,U00869,M00124,2026-01-08 15:04:16.412356,71,False,Laptop
W0000018,U00309,M00225,2026-02-01 15:04:16.412358,147,False,Laptop
W0000019,U00983,M00001,2026-04-12 15:04:16.412360,112,True,TV
W0000020,U00438,M00008,2026-01-12 15:04:16.412362,147,False,Mobile
W0000021,U00762,M00129,2026-01-22 15:04:16.412364,158,True,Tablet
W0000022,U00158,M00244,2025-06-03 15:04:16.412366,145,True,Mobile
W0000023,U00661,M00011,2025-12-21 15:04:16.412368,53,False,TV
W0000024,U00818,M00016,2025-07-21 15:04:16.412370,49,False,Mobile
W0000025,U00637,M00133,2025-07-05 15:04:16.412372,117,True,Laptop
W0000026,U00523,M00194,2026-04-16 15:04:16.412374,72,False,Laptop
W0000027,U00630,M00030,2026-03-15 15:04:16.412376,75,False,Tablet
W0000028,U00991,M00184,2025-06-01 15:04:16.412378,7,False,Laptop
W0000029,U00160,M00131,2026-01-18 15:04:16.412380,23,True,Laptop
W0000030,U00607,M00094,2025-12-22 15:04:16.412382,33,True,Laptop
W0000031,U00417,M00072,2025-07-03 15:04:16.412384,77,True,Laptop
W0000032,U00400,M00105,2025-07-17 15:04:16.412387,153,False,TV
W0000033,U00552,M00237,2025-09-18 15:04:16.412388,73,True,TV
W0000034,U00424,M00015,2025-09-15 15:04:16.412391,6,False,Tablet
W0000035,U00773,M00042,2026-04-28 15:04:16.412393,85,True,Tablet
W0000036,U00370,M00141,2026-01-03 15:04:16.412395,155,False,TV
W0000037,U00271,M00249,2026-02-02 15:04:16.412397,46,False,Mobile
W0000038,U00268,M00119,2026-03-08 15:04:16.412399,99,True,Mobile
W0000039,U00440,M00128,2025-05-14 15:04:16.412401,7,False,TV
W0000040,U00087,M00196,2025-12-07 15:04:16.412403,33,False,Laptop
W0000041,U00436,M00023,2026-01-28 15:04:16.412405,14,True,Mobile
