user_id,country,age,total_views
U00285,Chile,29,28
U00256,Peru,21,27
U00390,Mexico,48,26
U00593,Chile,26,26
U00464,USA,65,25
U00160,Peru,36,25
U00523,Argentina,56,25
U00189,Mexico,34,24
U00768,Brazil,65,24
U00815,Peru,35,24
U00066,Chile,49,24
U00957,Spain,41,24
U00058,USA,23,24
U00594,Spain,23,24
U00812,Mexico,45,24
U00208,Brazil,40,24
U00767,Chile,65,24
U00266,Brazil,36,23
U00149,Brazil,42,23
U00075,Mexico,43,23
U00325,Brazil,41,23
U00844,Peru,65,23
U00632,Canada,49,23
U00972,Brazil,55,23
U00586,USA,63,23
U00507,Spain,18,23
U00250,Brazil,44,23
U00271,Spain,24,23
U00554,Peru,64,23
U00510,USA,23,23
U00117,Canada,65,23
U00995,Chile,44,23
U00026,Argentina,24,23
U00719,Brazil,63,23
U00259,USA,29,22
U00498,Peru,45,22
U00488,Argentina,48,22
U00402,Peru,26,22
U00825,USA,64,22
U00265,USA,53,22
U00501,Chile,26,22
U00238,USA,40,22
U00909,Peru,62,22
U00666,Brazil,51,22
U00451,Canada,22,22
U00762,Canada,33,22
U00049,Argentina,24,22
U00142,Argentina,24,22
U00027,Peru,61,22
U00248,USA,22,22
U00198,Mexico,63,22
U00979,Peru,51,22
U00141,Spain,55,22
U00094,Brazil,25,22
U00311,Brazil,27,22
U00482,Mexico,27,22
U00205,USA,27,21
U00563,Peru,26,21
U00109,Canada,53,21
U00984,Canada,24,21
U00181,Peru,47,21
U00399,Chile,38,21
U00030,Spain,21,21
U00795,Spain,35,21
U00573,Mexico,44,21
U00345,Canada,54,21
U00978,Spain,65,21
U00933,Spain,62,21
U00693,Spain,28,21
U00337,Argentina,21,21
U00104,Mexico,18,21
U00020,Peru,33,21
U00391,Spain,27,21
U00273,USA,40,21
U00683,Spain,41,21
U00537,Peru,41,21
U00993,Spain,58,20
U00466,Brazil,65,20
U00591,Chile,43,20
U00382,Spain,47,20
U00469,Argentina,52,20
U00913,Peru,41,20
U00541,Mexico,22,20
U00518,USA,46,20
U00366,Spain,28,20
U00624,Mexico,20,20
U00241,USA,58,20
U00293,USA,27,20
U00003,Brazil,22,20
U00839,Mexico,39,20
U00052,Argentina,50,20
U00963,Brazil,35,20
U00168,Mexico,56,20
U00191,Brazil,56,20
U00255,USA,60,20
U00759,USA,56,20
U00175,Canada,62,20
U00876,Chile,39,20
U00709,Argentina,39,20
U00955,Argentina,48,20
U00665,USA,34,20
U00802,Peru,62,20
U00631,Argentina,53,20
U00053,Canada,32,20
U00944,USA,43,20
U00552,Spain,41,20
U00564,Argentina,50,20
U00188,Argentina,31,20
U00480,USA,65,20
U00704,Peru,57,20
U00512,Spain,20,20
U00475,Argentina,54,20
U00542,Mexico,22,20
U00879,Spain,24,20
U00317,Mexico,28,20
U00127,Mexico,40,20
U00130,USA,21,20
U00442,USA,34,20
U00257,USA,36,20
U00792,Chile,62,20
U00700,Peru,42,20
U00770,Brazil,61,20
U00269,Brazil,38,20
U00834,Spain,40,20
U00239,Peru,31,19
U00548,Brazil,55,19
U00207,Argentina,42,19
U00843,Argentina,52,19
U00642,USA,53,19
U00924,Chile,19,19
U00013,Chile,55,19
U00209,Peru,44,19
U00524,Brazil,21,19
U00698,Mexico,49,19
U00253,Chile,56,19
U00535,Mexico,39,19
U00278,Mexico,36,19
U00824,Canada,60,19
U00826,Canada,63,19
U00794,Brazil,45,19
U00483,Chile,23,19
U00811,Spain,33,19
U00159,Peru,64,19
U00950,Mexico,37,19
U00744,Brazil,55,19
U00584,Canada,31,19
U00428,USA,39,19
U00715,Argentina,19,19
U00151,Argentina,26,19
U00330,Peru,53,19
U00494,Brazil,28,19
U00936,Brazil,36,19
U00155,Brazil,58,19
U00819,USA,36,19
U00344,Peru,39,19
U00444,Spain,58,19
U00964,Mexico,56,19
U00639,Spain,50,19
U00200,Canada,18,19
U00044,Argentina,28,19
U00504,Canada,40,19
U00372,Spain,19,19
U00687,Brazil,58,19
U00629,Argentina,60,19
U00105,Brazil,57,19
U00616,Peru,19,19
U00029,Brazil,23,19
U00491,Argentina,61,19
U00605,Brazil,44,19
U00161,Brazil,36,19
U00396,Chile,55,19
U00604,Mexico,24,19
U00891,USA,38,19
U00868,USA,47,19
U00672,Chile,58,19
U00384,Argentina,23,19
U00178,Peru,59,19
U00326,Chile,43,19
U00718,Brazil,42,19
U00233,Chile,20,19
U00381,Brazil,23,19
U00107,Peru,57,18
U00389,Mexico,61,18
U00565,USA,39,18
U00319,USA,37,18
U00229,Canada,23,18
U00801,Spain,21,18
U00201,USA,48,18
U00308,Chile,34,18
U00377,USA,29,18
U00292,Brazil,56,18
U00002,Canada,61,18
U00423,Spain,32,18
U00471,Spain,23,18
U00745,Argentina,46,18
U00386,Brazil,39,18
U00615,Peru,18,18
U00529,USA,39,18
U00395,Argentina,19,18
U00517,Canada,62,18
U00911,Argentina,26,18
U00622,Brazil,41,18
U00750,Mexico,65,18
U00032,Peru,46,18
U00509,Argentina,64,18
U00092,Argentina,32,18
U00521,Canada,41,18
U00847,Spain,54,18
U00154,Spain,47,18
U00816,Argentina,24,18
U00699,Mexico,37,18
U00199,USA,50,18
U00797,Chile,45,18
U00145,Chile,28,18
U00852,Argentina,19,18
U00695,Mexico,61,18
U00738,Spain,65,18
U00662,Canada,23,18
U00419,Brazil,31,18
U00343,Peru,49,18
U00603,Canada,34,18
U00076,Spain,23,18
U00061,Chile,52,18
U00968,Argentina,48,18
U00675,Peru,33,18
U00864,Brazil,26,18
U00779,Spain,61,18
U00202,Argentina,30,18
U00096,Argentina,44,18
U00686,Spain,21,18
U00169,Spain,39,18
U00309,Spain,29,18
U00887,Mexico,39,18
U00505,Argentina,52,18
U00877,Brazil,30,18
U00915,Mexico,26,18
U00922,Peru,51,18
U00716,Canada,24,18
U00579,Argentina,58,18
U00312,Spain,37,18
U00651,Brazil,35,18
U00511,Brazil,43,18
U00560,Chile,36,18
U00983,Chile,19,18
U00437,Argentina,34,18
U00620,Mexico,29,18
U00220,Mexico,62,18
U00124,USA,34,18
U00282,Spain,30,18
U00427,Argentina,29,18
U00783,Argentina,51,18
U00245,USA,42,18
U00859,Brazil,34,18
U00896,Argentina,25,18
U00274,Mexico,58,17
U00823,USA,43,17
U00036,Chile,26,17
U00678,Brazil,36,17
U00921,Peru,18,17
U00734,Argentina,26,17
U00294,Peru,51,17
U00243,Spain,30,17
U00771,Mexico,45,17
U00937,Argentina,36,17
U00185,Argentina,19,17
U00828,Chile,51,17
U00931,Brazil,30,17
U00459,Peru,50,17
U00088,Brazil,58,17
U00336,Spain,62,17
U00192,Brazil,26,17
U00689,Brazil,27,17
U00364,Peru,22,17
U00140,USA,50,17
U00059,USA,53,17
U00960,Chile,58,17
U00790,USA,28,17
U00126,Argentina,24,17
U00383,Brazil,59,17
U00007,Spain,30,17
U00458,Spain,63,17
U00392,Spain,48,17
U00212,Canada,45,17
U00728,Spain,47,17
U00177,Chile,35,17
U00927,Argentina,21,17
U00572,Brazil,65,17
U00431,Canada,52,17
U00970,Argentina,42,17
U00989,Spain,21,17
U00359,Peru,20,17
U00450,USA,50,17
U00590,Brazil,30,17
U00203,Argentina,30,17
U00387,USA,39,17
U00425,Brazil,26,17
U00809,Argentina,54,17
U00478,Argentina,23,17
U00499,Chile,26,17
U00131,USA,37,17
U00439,Argentina,48,17
U00012,USA,38,17
U00449,Spain,64,17
U00836,Mexico,38,17
U00850,Spain,45,17
U00520,Peru,31,17
U00429,Spain,59,17
U00254,USA,30,17
U00472,Argentina,48,17
U00135,Canada,62,17
U00893,Peru,26,17
U00077,Chile,47,17
U00401,Spain,43,17
U00432,Canada,48,17
U00166,USA,51,17
U00193,Canada,36,17
U00249,Mexico,39,17
U00331,Peru,44,17
U00607,Peru,55,17
U00679,USA,47,17
U00413,Argentina,61,17
U00100,Brazil,53,17
U00515,Chile,48,17
U00463,Chile,58,17
U00156,Peru,21,17
U00216,Spain,29,17
U00576,Brazil,56,17
U00137,Canada,21,17
U00810,Peru,32,17
U00360,Chile,33,17
U00777,Mexico,18,17
U00600,Peru,60,17
U00906,Argentina,24,17
U00627,Mexico,62,17
U00567,Mexico,57,17
U00342,Mexico,65,17
U00122,Argentina,26,17
U00187,Canada,54,17
U00514,Argentina,39,17
U00307,Chile,37,17
U00513,USA,60,17
U00545,Spain,59,17
U00671,Chile,46,17
U00550,Canada,60,16
U00184,Peru,35,16
U00296,Spain,36,16
U00369,Peru,64,16
U00334,Chile,46,16
U00367,Brazil,32,16
U00621,Argentina,51,16
U00855,Argentina,52,16
U00613,Mexico,23,16
U00115,Spain,44,16
U00837,Brazil,26,16
U00760,Spain,43,16
U00691,Canada,65,16
U00544,Canada,22,16
U00959,Spain,59,16
U00021,Peru,19,16
U00874,Mexico,50,16
U00073,Mexico,59,16
U00204,USA,19,16
U00890,USA,32,16
U00046,USA,49,16
U00112,USA,46,16
U00338,Brazil,63,16
U00788,Spain,50,16
U00569,Argentina,56,16
U00540,Brazil,30,16
U00263,Canada,33,16
U00962,Chile,24,16
U00060,Mexico,31,16
U00097,Canada,21,16
U00661,Mexico,50,16
U00617,Argentina,51,16
U00037,Chile,60,16
U00938,USA,51,16
U00752,Mexico,51,16
U00667,Brazil,37,16
U00102,Argentina,33,16
U00328,Brazil,42,16
U00840,Brazil,24,16
U00895,Canada,22,16
U00435,Peru,54,16
U00462,Canada,38,16
U00321,Chile,25,16
U00019,Mexico,48,16
U00333,Canada,21,16
U00078,Peru,37,16
U00190,Canada,27,16
U00889,Chile,41,16
U00838,USA,56,16
U00886,Brazil,26,16
U00634,Chile,25,16
U00561,Canada,33,16
U00283,Chile,27,16
U00017,Brazil,30,16
U00799,USA,26,16
U00376,Chile,47,16
U00743,Spain,23,16
U00930,Peru,34,16
U00755,Canada,57,16
U00658,Canada,24,16
U00710,Argentina,51,16
U00237,Chile,36,16
U00276,USA,40,16
U00952,Mexico,29,16
U00232,Spain,32,16
U00670,Chile,43,16
U00845,Brazil,22,16
U00406,Argentina,28,16
U00221,USA,52,16
U00878,Mexico,37,16
U00236,Canada,62,16
U00740,Brazil,61,16
U00780,Peru,62,16
U00681,Canada,39,16
U00438,Spain,63,16
U00953,Brazil,65,16
U00010,USA,30,16
U00867,Chile,61,16
U00871,Brazil,65,16
U00827,Canada,34,16
U00571,Argentina,38,16
U00226,Peru,41,16
U00455,Spain,38,16
U00165,Peru,42,15
U00986,USA,51,15
U00398,Canada,37,15
U00409,Brazil,40,15
U00649,Brazil,43,15
U00056,Brazil,30,15
U00261,USA,25,15
U00973,USA,52,15
U00394,Spain,61,15
U00164,Spain,61,15
U00228,Canada,33,15
U00182,Brazil,36,15
U00316,Spain,56,15
U00757,Peru,55,15
U00490,Canada,60,15
U00346,Peru,48,15
U00146,Mexico,26,15
U00556,Canada,19,15
U00476,Chile,46,15
U00016,Peru,65,15
U00551,Spain,34,15
U00079,Chile,60,15
U00872,Mexico,46,15
U00152,Brazil,42,15
U00948,Chile,37,15
U00943,USA,60,15
U00723,Mexico,57,15
U00803,Brazil,52,15
U00894,Chile,37,15
U00322,Mexico,47,15
U00424,Spain,59,15
U00741,Canada,60,15
U00628,Argentina,24,15
U00084,Chile,25,15
U00452,Brazil,23,15
U00562,Chile,19,15
U00865,Brazil,53,15
U00774,USA,49,15
U00574,Chile,49,15
U00772,Chile,62,15
U00087,Spain,18,15
U00354,Spain,22,15
U00807,USA,56,15
U00042,Chile,31,15
U00225,USA,35,15
U00388,Mexico,23,15
U00806,Argentina,30,15
U00351,Canada,38,15
U00637,USA,55,15
U00763,USA,54,15
U00287,Mexico,36,15
U00835,Canada,53,15
U00598,Chile,47,15
U00327,Spain,60,15
U00566,USA,56,15
U00267,Spain,30,15
U00485,Brazil,43,15
U00841,Peru,54,15
U00653,Peru,49,15
U00641,Mexico,33,15
U00324,Argentina,20,15
U00120,Mexico,42,15
U00040,Brazil,62,15
U00712,USA,38,15
U00416,Canada,55,15
U00038,Canada,44,15
U00992,Brazil,49,15
U00489,Peru,59,15
U00720,USA,22,15
U00123,USA,54,15
U00778,Chile,35,15
