movie_id,title,genre,total_views
M00130,Movie 130,Documentary,70
M00247,Movie 247,Comedy,68
M00204,Movie 204,Thriller,68
M00113,Movie 113,Horror,67
M00060,Movie 60,Drama,67
M00068,Movie 68,Action,66
M00007,Movie 7,Documentary,66
M00123,Movie 123,Horror,65
M00206,Movie 206,Action,65
M00222,Movie 222,Horror,64
M00191,Movie 191,Drama,64
M00197,Movie 197,Action,64
M00219,Movie 219,Comedy,63
M00266,Movie 266,Animation,63
M00227,Movie 227,Action,62
M00122,Movie 122,Sci-Fi,62
M00203,Movie 203,Drama,62
M00084,Movie 84,Action,62
M00093,Movie 93,Documentary,62
M00196,Movie 196,Romance,61
M00195,Movie 195,Drama,61
M00025,Movie 25,Comedy,61
M00300,Movie 300,Romance,61
M00239,Movie 239,Sci-Fi,61
M00080,Movie 80,Romance,60
M00144,Movie 144,Animation,60
M00055,Movie 55,Romance,60
M00261,Movie 261,Fantasy,60
M00168,Movie 168,Sci-Fi,60
M00088,Movie 88,Romance,59
M00101,Movie 101,Animation,59
M00235,Movie 235,Fantasy,59
M00292,Movie 292,Action,58
M00184,Movie 184,Animation,58
M00044,Movie 44,Action,58
M00152,Movie 152,Romance,58
M00223,Movie 223,Action,58
M00294,Movie 294,Sci-Fi,58
M00087,Movie 87,Documentary,58
M00213,Movie 213,Sci-Fi,58
M00273,Movie 273,Thriller,57
M00175,Movie 175,Sci-Fi,57
M00225,Movie 225,Horror,57
M00160,Movie 160,Comedy,57
M00192,Movie 192,Horror,57
M00058,Movie 58,Fantasy,57
M00163,Movie 163,Comedy,57
M00137,Movie 137,Action,57
M00013,Movie 13,Comedy,56
M00105,Movie 105,Animation,56
M00073,Movie 73,Documentary,56
M00162,Movie 162,Thriller,56
M00229,Movie 229,Fantasy,56
M00095,Movie 95,Horror,56
M00021,Movie 21,Drama,56
M00200,Movie 200,Documentary,56
M00174,Movie 174,Romance,56
M00018,Movie 18,Sci-Fi,56
M00169,Movie 169,Horror,56
M00285,Movie 285,Fantasy,56
M00218,Movie 218,Action,55
M00145,Movie 145,Documentary,55
M00066,Movie 66,Action,55
M00109,Movie 109,Drama,55
M00020,Movie 20,Action,55
M00079,Movie 79,Romance,55
M00085,Movie 85,Horror,55
M00181,Movie 181,Animation,55
M00102,Movie 102,Comedy,55
M00257,Movie 257,Romance,54
M00135,Movie 135,Animation,54
M00242,Movie 242,Comedy,54
M00165,Movie 165,Drama,54
M00003,Movie 3,Sci-Fi,54
M00245,Movie 245,Animation,54
M00171,Movie 171,Drama,54
M00037,Movie 37,Documentary,54
M00011,Movie 11,Romance,54
M00243,Movie 243,Sci-Fi,54
M00186,Movie 186,Sci-Fi,54
M00030,Movie 30,Sci-Fi,54
M00293,Movie 293,Comedy,54
M00157,Movie 157,Documentary,53
M00035,Movie 35,Comedy,53
M00249,Movie 249,Thriller,53
M00254,Movie 254,Documentary,53
M00047,Movie 47,Thriller,53
M00215,Movie 215,Drama,53
M00040,Movie 40,Sci-Fi,53
M00015,Movie 15,Drama,53
M00256,Movie 256,Fantasy,53
M00112,Movie 112,Comedy,53
M00220,Movie 220,Thriller,53
M00251,Movie 251,Documentary,53
M00129,Movie 129,Horror,53
M00268,Movie 268,Romance,53
M00231,Movie 231,Drama,53
M00210,Movie 210,Documentary,53
M00096,Movie 96,Sci-Fi,52
M00050,Movie 50,Thriller,52
M00111,Movie 111,Action,52
M00291,Movie 291,Action,52
M00100,Movie 100,Animation,52
M00295,Movie 295,Action,52
M00039,Movie 39,Fantasy,52
M00061,Movie 61,Drama,52
M00236,Movie 236,Fantasy,52
M00038,Movie 38,Fantasy,52
M00059,Movie 59,Horror,52
M00238,Movie 238,Fantasy,52
M00221,Movie 221,Action,52
M00189,Movie 189,Thriller,52
M00187,Movie 187,Documentary,52
M00045,Movie 45,Thriller,52
M00279,Movie 279,Romance,52
M00298,Movie 298,Fantasy,52
M00148,Movie 148,Action,52
M00029,Movie 29,Comedy,52
M00253,Movie 253,Thriller,52
M00190,Movie 190,Animation,52
M00012,Movie 12,Sci-Fi,51
M00177,Movie 177,Animation,51
M00244,Movie 244,Comedy,51
M00234,Movie 234,Comedy,51
M00083,Movie 83,Horror,51
M00212,Movie 212,Fantasy,51
M00284,Movie 284,Comedy,51
M00172,Movie 172,Drama,51
M00276,Movie 276,Animation,51
M00263,Movie 263,Drama,51
M00017,Movie 17,Documentary,51
M00252,Movie 252,Horror,51
M00166,Movie 166,Documentary,51
M00036,Movie 36,Action,51
M00280,Movie 280,Comedy,51
M00065,Movie 65,Documentary,51
M00127,Movie 127,Animation,51
M00078,Movie 78,Sci-Fi,51
M00103,Movie 103,Animation,51
M00151,Movie 151,Action,51
M00108,Movie 108,Animation,51
M00228,Movie 228,Drama,51
M00182,Movie 182,Romance,51
M00049,Movie 49,Documentary,50
M00098,Movie 98,Documentary,50
M00034,Movie 34,Drama,50
M00154,Movie 154,Horror,50
M00139,Movie 139,Comedy,50
M00131,Movie 131,Documentary,50
M00076,Movie 76,Action,50
M00054,Movie 54,Comedy,50
M00027,Movie 27,Fantasy,50
M00259,Movie 259,Action,50
M00064,Movie 64,Horror,50
M00232,Movie 232,Horror,50
M00099,Movie 99,Horror,50
M00056,Movie 56,Drama,50
M00188,Movie 188,Fantasy,50
M00074,Movie 74,Romance,50
M00237,Movie 237,Fantasy,50
M00179,Movie 179,Animation,50
M00214,Movie 214,Sci-Fi,50
M00133,Movie 133,Thriller,50
M00146,Movie 146,Fantasy,50
M00110,Movie 110,Thriller,49
M00278,Movie 278,Action,49
M00071,Movie 71,Thriller,49
M00019,Movie 19,Drama,49
M00116,Movie 116,Action,49
M00217,Movie 217,Action,49
M00008,Movie 8,Animation,49
M00001,Movie 1,Comedy,49
M00207,Movie 207,Horror,49
M00281,Movie 281,Documentary,49
M00255,Movie 255,Horror,49
M00205,Movie 205,Thriller,49
M00063,Movie 63,Fantasy,49
M00092,Movie 92,Comedy,49
M00026,Movie 26,Comedy,49
