user_id,country,age,total_watch_minutes
U00593,Chile,26,2810
U00256,Peru,21,2529
U00160,Peru,36,2528
U00250,Brazil,44,2498
U00030,Spain,21,2456
U00238,USA,40,2448
U00767,Chile,65,2443
U00564,Argentina,50,2372
U00390,Mexico,48,2367
U00285,Chile,29,2355
U00812,Mexico,45,2332
U00311,Brazil,27,2313
U00594,Spain,23,2304
U00325,Brazil,41,2286
U00510,USA,23,2284
U00149,Brazil,42,2270
U00584,Canada,31,2261
U00537,Peru,41,2251
U00469,Argentina,52,2250
U00142,Argentina,24,2240
U00049,Argentina,24,2225
U00563,Peru,26,2219
U00891,USA,38,2218
U00266,Brazil,36,2198
U00957,Spain,41,2197
U00384,Argentina,23,2197
U00141,Spain,55,2196
U00265,USA,53,2177
U00719,Brazil,63,2177
U00402,Peru,26,2169
U00554,Peru,64,2165
U00913,Peru,41,2161
U00632,Canada,49,2158
U00198,Mexico,63,2158
U00517,Canada,62,2155
U00879,Spain,24,2146
U00698,Mexico,49,2144
U00825,USA,64,2140
U00248,USA,22,2132
U00003,Brazil,22,2130
U00419,Brazil,31,2127
U00675,Peru,33,2126
U00488,Argentina,48,2119
U00345,Canada,54,2116
U00826,Canada,63,2110
U00541,Mexico,22,2106
U00482,Mexico,27,2106
U00107,Peru,57,2104
U00704,Peru,57,2103
U00317,Mexico,28,2102
U00066,Chile,49,2088
U00337,Argentina,21,2087
U00094,Brazil,25,2085
U00395,Argentina,19,2082
U00845,Brazil,22,2081
U00604,Mexico,24,2068
U00909,Peru,62,2065
U00058,USA,23,2060
U00944,USA,43,2058
U00815,Peru,35,2053
U00768,Brazil,65,2052
U00745,Argentina,46,2048
U00480,USA,65,2044
U00189,Mexico,34,2043
U00399,Chile,38,2041
U00844,Peru,65,2041
U00177,Chile,35,2035
U00309,Spain,29,2035
U00834,Spain,40,2034
U00391,Spain,27,2033
U00475,Argentina,54,2028
U00259,USA,29,2027
U00501,Chile,26,2027
U00529,USA,39,2026
U00292,Brazil,56,2023
U00819,USA,36,2022
U00666,Brazil,51,2020
U00794,Brazil,45,2020
U00523,Argentina,56,2014
U00693,Spain,28,2008
U00979,Peru,51,2002
U00192,Brazil,26,1998
U00512,Spain,20,1996
U00257,USA,36,1995
U00933,Spain,62,1983
U00200,Canada,18,1974
U00542,Mexico,22,1969
U00494,Brazil,28,1968
U00963,Brazil,35,1964
U00491,Argentina,61,1960
U00699,Mexico,37,1958
U00377,USA,29,1953
U00366,Spain,28,1952
U00326,Chile,43,1952
U00201,USA,48,1946
U00191,Brazil,56,1946
U00683,Spain,41,1945
U00319,USA,37,1944
U00970,Argentina,42,1937
U00432,Canada,48,1934
U00843,Argentina,52,1933
U00876,Chile,39,1928
U00117,Canada,65,1926
U00077,Chile,47,1925
U00750,Mexico,65,1923
U00922,Peru,51,1922
U00579,Argentina,58,1915
U00137,Canada,21,1912
U00104,Mexico,18,1911
U00978,Spain,65,1906
U00504,Canada,40,1905
U00552,Spain,41,1902
U00605,Brazil,44,1902
U00205,USA,27,1901
U00168,Mexico,56,1901
U00911,Argentina,26,1899
U00622,Brazil,41,1899
U00451,Canada,22,1896
U00709,Argentina,39,1896
U00464,USA,65,1893
U00995,Chile,44,1890
U00738,Spain,65,1888
U00591,Chile,43,1887
U00639,Spain,50,1886
U00473,USA,43,1885
U00662,Canada,23,1882
U00381,Brazil,23,1881
U00573,Mexico,44,1879
U00560,Chile,36,1878
U00032,Peru,46,1877
U00092,Argentina,32,1865
U00184,Peru,35,1861
U00154,Spain,47,1860
U00282,Spain,30,1859
U00431,Canada,52,1857
U00027,Peru,61,1856
U00127,Mexico,40,1853
U00972,Brazil,55,1852
U00840,Brazil,24,1850
U00052,Argentina,50,1838
U00269,Brazil,38,1838
U00896,Argentina,25,1838
U00255,USA,60,1835
U00798,Argentina,44,1834
U00207,Argentina,42,1831
U00120,Mexico,42,1831
U00096,Argentina,44,1831
U00792,Chile,62,1828
U00763,USA,54,1826
U00208,Brazil,40,1826
U00020,Peru,33,1825
U00383,Brazil,59,1822
U00759,USA,56,1820
U00396,Chile,55,1816
U00762,Canada,33,1815
U00507,Spain,18,1812
U00595,Peru,55,1809
U00868,USA,47,1809
U00586,USA,63,1807
U00565,USA,39,1806
U00931,Brazil,30,1804
U00665,USA,34,1799
U00823,USA,43,1797
U00417,Brazil,60,1791
U00181,Peru,47,1789
U00797,Chile,45,1785
U00629,Argentina,60,1780
U00344,Peru,39,1778
U00130,USA,21,1775
U00169,Spain,39,1773
U00993,Spain,58,1768
U00442,USA,34,1768
